epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,382.215,0.64391,0.83385,1.10924,0.98027,0.99605,0.99482,0.90192,0.47471,0.34399,0.99951,0.000214319,0.000214319,0.000214319
38,392.528,0.62007,0.81106,1.0985,0.98624,0.99396,0.99475,0.89833,0.48008,0.34933,1.00461,0.000211022,0.000211022,0.000211022
39,402.814,0.63318,0.8227,1.10161,0.98548,0.9961,0.9946,0.90449,0.46783,0.33311,0.98431,0.000207725,0.000207725,0.000207725
40,413.117,0.62124,0.75588,1.0954,0.98969,0.99094,0.995,0.9051,0.45878,0.33529,0.9812,0.000204429,0.000204429,0.000204429
41,423.416,0.62796,0.78691,1.09813,0.98831,0.99082,0.99494,0.8906,0.49376,0.33372,1.01305,0.000201132,0.000201132,0.000201132
42,433.719,0.62175,0.7722,1.08794,0.98865,0.99825,0.995,0.90065,0.458,0.32512,0.98677,0.000197835,0.000197835,0.000197835
43,444.01,0.6411,0.78854,1.10811,0.98995,0.98876,0.995,0.9023,0.45211,0.31854,0.97648,0.000194539,0.000194539,0.000194539
44,454.293,0.62502,0.7722,1.09648,0.99293,0.99724,0.995,0.9061,0.45931,0.31909,0.98102,0.000191242,0.000191242,0.000191242
45,464.607,0.61671,0.75271,1.08827,0.99172,0.99909,0.995,0.90555,0.45343,0.31612,0.97479,0.000187945,0.000187945,0.000187945
46,474.878,0.60918,0.74239,1.0785,0.98875,0.99649,0.99481,0.90829,0.45274,0.31427,0.97346,0.000184649,0.000184649,0.000184649
47,485.163,0.60163,0.7298,1.08483,0.99308,0.99374,0.995,0.9089,0.44538,0.30685,0.96513,0.000181352,0.000181352,0.000181352
48,495.468,0.60579,0.7257,1.08912,0.9916,0.99403,0.99496,0.90722,0.44309,0.29824,0.97004,0.000178055,0.000178055,0.000178055
49,505.744,0.59987,0.71075,1.08279,0.99087,0.99708,0.99481,0.90635,0.44297,0.30349,0.96542,0.000174758,0.000174758,0.000174758
50,516.031,0.60618,0.69774,1.08134,0.99031,0.99731,0.9946,0.90925,0.43737,0.29953,0.96197,0.000171462,0.000171462,0.000171462
51,526.318,0.5946,0.69278,1.07603,0.98863,0.99195,0.99484,0.90692,0.43905,0.30962,0.96653,0.000168165,0.000168165,0.000168165
52,536.615,0.59338,0.69185,1.06959,0.9936,0.99301,0.995,0.90849,0.44217,0.30232,0.9612,0.000164868,0.000164868,0.000164868
53,546.894,0.59804,0.68731,1.0766,0.98804,0.99364,0.99431,0.90427,0.4458,0.30771,0.97523,0.000161572,0.000161572,0.000161572
54,557.18,0.59609,0.67737,1.07959,0.99072,0.9955,0.995,0.9147,0.42569,0.29996,0.95589,0.000158275,0.000158275,0.000158275
55,567.488,0.5681,0.64469,1.0573,0.99147,0.99411,0.995,0.9116,0.44085,0.29605,0.97301,0.000154978,0.000154978,0.000154978
56,577.779,0.58736,0.64892,1.07715,0.98408,0.99175,0.9945,0.91644,0.42094,0.29554,0.95341,0.000151682,0.000151682,0.000151682
57,588.067,0.58588,0.6423,1.06205,0.98889,0.99544,0.99441,0.91425,0.42789,0.29265,0.95493,0.000148385,0.000148385,0.000148385
58,598.363,0.57461,0.65151,1.06981,0.9906,0.99667,0.99462,0.91646,0.42043,0.28948,0.94937,0.000145088,0.000145088,0.000145088
59,608.659,0.55934,0.61112,1.05144,0.99351,0.99701,0.995,0.91987,0.41134,0.28125,0.93744,0.000141791,0.000141791,0.000141791
